2018-05-31 15:52:29
0.47s  144448 http://Fb.ru
0.53s   59395 http://Tnt-online.ru
0.62s   10554 http://Google.ru
0.62s       0 http://Instagram.com
1.09s   11132 http://Google.com
1.11s  118779 http://Kino-hd1080.ru
1.29s  170937 http://Rp5.ru
1.47s  225171 http://Sberbank.ru
1.48s  225175 http://Sbrf.ru
3.46s   31345 http://Dnevnik.ru
3.53s  233642 http://Drive2.ru
3.53s  166976 http://Rutracker.org
3.64s   98138 http://Hh.ru
3.67s   27795 http://Twitch.tv
3.77s     715 http://Ozon.ru
3.98s  174159 http://Ok.ru
4.05s   22174 http://Sdamgia.ru
4.08s  122009 http://Infourok.ru
4.11s    9184 http://Vk.com
4.20s  265073 http://Rbc.ru
4.20s  175814 http://Znanija.com
4.22s  295181 http://Wikia.com
4.27s  310206 http://Ivi.ru
4.37s  232806 http://Yaplakal.com
4.38s  286457 http://Mail.ru
4.46s  127035 http://Avito.ru
4.81s  253649 http://Pikabu.ru
4.91s   36079 http://Wildberries.ru
4.92s    9181 http://Userapi.com
4.93s  465986 http://Lenta.ru
4.93s  324955 http://Youla.ru
4.97s  148165 http://Ria.ru
5.03s  443518 http://Rambler.ru
5.08s  833024 http://Rutube.ru
5.11s  113019 http://Drom.ru
5.21s   75576 http://Wikipedia.org
5.31s   57837 http://Rt.com
5.57s  271772 http://Kinopoisk.ru
5.75s  405002 http://Youtube.com
6.24s   96151 http://Yandex.ru
6.48s  573442 http://Gazeta.ru
6.50s   52756 http://Aliexpress.com
6.72s  315455 http://Kp.ru
7.23s  484104 http://Facebook.com
7.86s 1502819 http://Seasonvar.ru


2018-05-31 15:54:17
3.20s       0 http://Instagram.com
3.23s   59323 http://Tnt-online.ru
3.58s  170946 http://Rp5.ru
3.65s  144448 http://Fb.ru
3.66s   11106 http://Google.com
3.88s   10548 http://Google.ru
4.23s  166975 http://Rutracker.org
4.25s   31345 http://Dnevnik.ru
4.27s  118781 http://Kino-hd1080.ru
4.28s  225171 http://Sberbank.ru
4.35s  225202 http://Sbrf.ru
4.87s   22174 http://Sdamgia.ru
4.88s     714 http://Ozon.ru
4.98s   27795 http://Twitch.tv
5.00s   98086 http://Hh.ru
5.20s  174207 http://Ok.ru
5.39s  233902 http://Drive2.ru
5.40s  161150 http://Znanija.com
5.44s    9184 http://Vk.com
5.52s  126762 http://Avito.ru
5.75s  310206 http://Ivi.ru
5.79s  232807 http://Yaplakal.com
6.75s  122009 http://Infourok.ru
6.80s  295181 http://Wikia.com
6.86s  324955 http://Youla.ru
6.95s  265169 http://Rbc.ru
7.02s   36079 http://Wildberries.ru
7.21s  286603 http://Mail.ru
7.27s  253639 http://Pikabu.ru
7.64s    9181 http://Userapi.com
7.71s   57837 http://Rt.com
7.71s  116651 http://Drom.ru
7.83s  443512 http://Rambler.ru
8.06s   52835 http://Aliexpress.com
8.17s  466138 http://Lenta.ru
9.23s   75576 http://Wikipedia.org
9.34s  833024 http://Rutube.ru
9.39s  271389 http://Kinopoisk.ru
9.48s  573461 http://Gazeta.ru
9.55s   87099 http://Yandex.ru
9.60s  464582 http://Youtube.com
9.89s 1502819 http://Seasonvar.ru
9.92s  148163 http://Ria.ru
10.69s  315471 http://Kp.ru
10.92s  485902 http://Facebook.com


